"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",2016,"M",2405364,23161,95659,121009,120339,142072,165678,172724,172721,155540,151434,166489,183036,179642,160632,140444,98119,67910,47923,27684,13148
"0","British Columbia",2016,"F",2453886,21780,89314,116336,115578,130226,151321,166106,170570,159216,159556,175677,189313,188521,169971,147533,103522,75070,55991,39574,28711
"0","British Columbia",2016,"T",4859250,44941,184973,237345,235917,272298,316999,338830,343291,314756,310990,342166,372349,368163,330603,287977,201641,142980,103914,67258,41859
"0","British Columbia",2017,"M",2438883,23152,96136,122428,121035,142249,168014,176066,176703,161282,151181,165339,178273,181665,164454,142038,106508,71050,48687,28952,13671
"0","British Columbia",2017,"F",2490501,21929,89416,117225,116959,132618,152834,169249,173407,164406,158999,175257,185426,190072,174987,150274,112931,78094,57092,39966,29360
"0","British Columbia",2017,"T",4929384,45081,185552,239653,237994,274867,320848,345315,350110,325688,310180,340596,363699,371737,339441,292312,219439,149144,105779,68918,43031
"0","British Columbia",2018,"M",2479444,22655,96032,123739,122505,143525,173355,180771,181274,168228,152348,163446,172609,183618,168458,144133,113381,75242,49659,30037,14429
"0","British Columbia",2018,"F",2531032,21692,89247,117594,118781,135219,157362,172170,177182,170396,159302,173533,181012,192084,179591,153738,120920,82151,58448,40476,30134
"0","British Columbia",2018,"T",5010476,44347,185279,241333,241286,278744,330717,352941,358456,338624,311650,336979,353621,375702,348049,297871,234301,157393,108107,70513,44563
"0","British Columbia",2019,"M",2521582,22326,95503,124603,124757,142072,178719,185331,186678,175879,155111,161177,168776,185105,171832,147311,119328,79537,51118,31043,15376
"0","British Columbia",2019,"F",2573214,21113,89144,117760,120514,135689,162683,175284,181949,176831,161128,170593,177994,193823,183083,158594,128173,86971,60029,40989,30870
"0","British Columbia",2019,"T",5094796,43439,184647,242363,245271,277761,341402,360615,368627,352710,316239,331770,346770,378928,354915,305905,247501,166508,111147,72032,46246
"0","British Columbia",2020,"M",2551929,22347,94389,126232,127253,138644,177394,186345,191559,182542,159150,158715,167147,184380,174495,150901,126014,83195,53106,31739,16382
"0","British Columbia",2020,"F",2606799,20787,88756,118328,122329,133759,163516,175338,186578,181923,164961,167761,177453,192945,185891,163458,136340,91325,62053,41646,31652
"0","British Columbia",2020,"T",5158728,43134,183145,244560,249582,272403,340910,361683,378137,364465,324111,326476,344600,377325,360386,314359,262354,174520,115159,73385,48034
"0","British Columbia",2021,"M",2578973,21902,93629,127296,128306,132816,175303,188044,195813,189390,165280,157101,167642,181808,176998,155142,131281,87259,54999,32102,16862
"0","British Columbia",2021,"F",2635832,20751,87765,118915,123105,129160,162885,175507,190267,187248,169520,165746,178588,190706,188420,168808,143147,96027,64776,42292,32199
"0","British Columbia",2021,"T",5214805,42653,181394,246211,251411,261976,338188,363551,386080,376638,334800,322847,346230,372514,365418,323950,274428,183286,119775,74394,49061
"0","British Columbia",2022,"M",2627029,22511,93181,128719,130824,134861,172324,195376,204102,195850,172319,157766,167239,177985,179755,159355,133072,94298,56882,32581,18029
"0","British Columbia",2022,"F",2688535,21355,87438,119778,124999,131253,163902,182458,197521,192447,176168,165997,179003,187558,190816,174198,145962,104401,66617,43068,33596
"0","British Columbia",2022,"T",5315564,43866,180619,248497,255823,266114,336226,377834,401623,388297,348487,323763,346242,365543,370571,333553,279034,198699,123499,75649,51625
"0","British Columbia",2023,"M",2668838,22917,93292,128660,132987,140849,167928,199104,210248,201208,179870,158830,165540,172810,182440,163653,135404,100463,60054,33406,19175
"0","British Columbia",2023,"F",2734229,21738,87419,119841,126195,137365,161621,187206,201767,197141,182576,166549,177628,183523,193489,179080,149548,111923,70012,44155,35453
"0","British Columbia",2023,"T",5403067,44655,180711,248501,259182,278214,329549,386310,412015,398349,362446,325379,343168,356333,375929,342733,284952,212386,130066,77561,54628
"0","British Columbia",2024,"M",2707871,23229,93824,128246,134292,146043,164264,201673,215096,206887,187444,161178,162875,169217,184338,167117,138596,105597,63257,34467,20231
"0","British Columbia",2024,"F",2777213,22033,88122,119481,126821,141860,160030,191417,205119,201856,188631,168322,174692,180753,195700,182729,154414,118528,74162,45386,37157
"0","British Columbia",2024,"T",5485084,45262,181946,247727,261113,287903,324294,393090,420215,408743,376075,329500,337567,349970,380038,349846,293010,224125,137419,79853,57388
"0","British Columbia",2025,"M",2745309,23495,94559,127248,135902,150171,161756,202994,219084,212512,194492,165007,160088,167510,183812,169998,142225,111430,66027,35822,21177
"0","British Columbia",2025,"F",2818489,22287,89321,118793,127271,145345,158605,195260,207676,206995,193489,171796,171633,180206,195103,185764,159260,125916,77924,46918,38927
"0","British Columbia",2025,"T",5563798,45782,183880,246041,263173,295516,320361,398254,426760,419507,387981,336803,331721,347716,378915,355762,301485,237346,143951,82740,60104
"0","British Columbia",2026,"M",2782555,23743,95946,126421,137265,153398,161619,202015,222977,217740,200913,170400,157599,167347,181014,172639,146400,116167,69339,37231,22382
"0","British Columbia",2026,"F",2859370,22526,90655,118219,127963,148219,158409,196722,211428,211319,198505,175736,169175,181037,192783,188547,164385,132104,81967,48920,40751
"0","British Columbia",2026,"T",5641925,46269,186601,244640,265228,301617,320028,398737,434405,429059,399418,346136,326774,348384,373797,361186,310785,248271,151306,86151,63133
"0","British Columbia",2027,"M",2819439,23968,97103,125907,138165,156076,165667,197542,226448,223452,206094,176620,157710,166504,176950,175006,150211,117895,75529,39094,23498
"0","British Columbia",2027,"F",2899670,22743,91759,117860,128356,150349,162308,195657,214000,215960,202359,181517,168797,180937,189254,190510,169359,134749,89675,50996,42525
"0","British Columbia",2027,"T",5719109,46711,188862,243767,266521,306425,327975,393199,440448,439412,408453,358137,326507,347441,366204,365516,319570,252644,165204,90090,66023
"0","British Columbia",2028,"M",2856340,24175,98128,126202,137925,158117,171435,192645,229192,228932,211072,183874,158590,164718,171880,177617,154330,120282,80900,41636,24690
"0","British Columbia",2028,"F",2939962,22940,92747,118010,128254,151421,168219,192748,217673,219573,206693,187662,169173,179443,185196,193085,174087,138331,96478,53904,44325
"0","British Columbia",2028,"T",5796302,47115,190875,244212,266179,309538,339654,385393,446865,448505,417765,371536,327763,344161,357076,370702,328417,258613,177378,95540,69015
"0","British Columbia",2029,"M",2892910,24357,99070,126957,137440,159390,176547,188779,231371,233508,216592,191280,160825,162061,168418,179529,157724,123407,85409,44222,26024
"0","British Columbia",2029,"F",2980034,23113,93652,118917,127825,152016,172644,190929,221467,222668,211258,193584,170851,176489,182477,195289,177707,143108,102506,57406,46128
"0","British Columbia",2029,"T",5872944,47470,192722,245874,265265,311406,349191,379708,452838,456176,427850,384864,331676,338550,350895,374818,335431,266515,187915,101628,72152
"0","British Columbia",2030,"M",2929054,24509,99930,127941,136433,161016,180673,186213,232637,237450,222182,198236,164574,159324,166820,179147,160640,126928,90479,46470,27452
"0","British Columbia",2030,"F",3019852,23258,94478,120350,127122,152479,176136,189469,225265,225181,216369,198391,174274,173469,181989,194793,180783,147860,109264,60636,48286
"0","British Columbia",2030,"T",5948906,47767,194408,248291,263555,313495,356809,375682,457902,462631,438551,396627,338848,332793,348809,373940,341423,274788,199743,107106,75738
"0","British Columbia",2031,"M",2964740,24631,100695,129561,135595,162383,183898,186027,231618,241303,227380,204580,169875,156891,166723,176578,163337,130928,94621,49114,29002
"0","British Columbia",2031,"F",3059281,23375,95211,121912,126533,153178,179011,189239,226686,228893,220670,203365,178166,171047,182854,192613,183606,152839,114957,64166,50960
"0","British Columbia",2031,"T",6024021,48006,195906,251473,262128,315561,362909,375266,458304,470196,448050,407945,348041,327938,349577,369191,346943,283767,209578,113280,79962
"0","British Columbia",2032,"M",3000017,24728,101355,130945,135083,163290,186575,190052,227142,244760,233068,209715,176005,157021,165961,172792,165768,134604,96460,53949,30744
"0","British Columbia",2032,"F",3098204,23467,95839,123229,126171,153580,181148,193121,225601,231449,225297,207197,183903,170691,182795,189254,185642,157665,117677,70731,53747
"0","British Columbia",2032,"T",6098221,48195,197194,254174,261254,316870,367723,383173,452743,476209,458365,416912,359908,327712,348756,362046,351410,292269,214137,124680,84491
"0","British Columbia",2033,"M",3034946,24808,101905,132173,135376,163057,188614,195783,222239,247485,238525,214643,183156,157900,164278,168060,168451,138583,98801,58150,32959
"0","British Columbia",2033,"F",3136575,23542,96363,124405,126318,153484,182225,199009,222669,235102,228899,211504,189996,171076,181364,185394,188282,162270,121129,76474,57070
"0","British Columbia",2033,"T",6171521,48350,198268,256578,261694,316541,370839,394792,444908,482587,467424,426147,373152,328976,345642,353454,356733,300853,219930,134624,90029
"0","British Columbia",2034,"M",3069497,24878,102353,133291,136125,162575,189885,200857,218357,249646,243085,220111,190455,160110,161750,164876,170447,141897,101742,61709,35348
"0","British Columbia",2034,"F",3174380,23609,96791,125478,127218,153060,182823,203407,220818,238873,231981,216041,195867,172749,178502,182845,190561,165857,125624,81549,60727
"0","British Columbia",2034,"T",6243877,48487,199144,258769,263343,315635,372708,404264,439175,488519,475066,436152,386322,332859,340252,347721,361008,307754,227366,143258,96075
"0","British Columbia",2035,"M",3103607,24945,102721,134297,137105,161573,191506,204948,215770,250897,247011,225652,197313,163807,159149,163479,170275,144814,105064,65666,37615
"0","British Columbia",2035,"F",3211659,23673,97140,126441,128644,152359,183288,206872,219323,242646,234480,221120,200632,176147,175571,182466,190226,168958,130130,87177,64366
"0","British Columbia",2035,"T",6315266,48618,199861,260738,265749,313932,374794,411820,435093,493543,481491,446772,397945,339954,334720,345945,360501,313772,235194,152843,101981
"0","British Columbia",2036,"M",3137233,25018,103032,135179,138721,160741,192871,208143,215561,249868,250850,230807,203567,169030,156841,163507,168029,147537,108763,68937,40231
"0","British Columbia",2036,"F",3248461,23743,97437,127281,130197,151777,183989,209727,219063,244047,238179,225392,205565,180013,173235,183397,188258,171823,134819,91941,68578
"0","British Columbia",2036,"T",6385694,48761,200469,262460,268918,312518,376860,417870,434624,493915,489029,456199,409132,349043,330076,346904,356287,319360,243582,160878,108809
"0","British Columbia",2037,"M",3170401,25107,103321,135932,140102,160233,193780,210794,219554,245396,254295,236448,208631,175072,157030,162874,164630,150004,112172,70683,44343
"0","British Columbia",2037,"F",3284805,23828,97712,127995,131511,151421,184395,211844,222914,242946,240725,229995,209367,185701,172925,183408,185137,173946,139375,94503,75157
"0","British Columbia",2037,"T",6455206,48935,201033,263927,271613,311654,378175,422638,442468,488342,495020,466443,417998,360773,329955,346282,349767,323950,251547,165186,119500
"0","British Columbia",2038,"M",3203188,25227,103618,136559,141327,160532,193547,212808,225249,240495,257013,241858,213494,182115,157946,161347,160380,152747,115862,72805,48259
"0","British Columbia",2038,"F",3320686,23941,97995,128588,132683,151571,184302,212903,228768,240001,244366,233574,213643,191743,173342,182077,181563,176657,143760,97687,81522
"0","British Columbia",2038,"T",6523874,49168,201613,265147,274010,312103,377849,425711,454017,480496,501379,475432,427137,373858,331288,343424,341943,329404,259622,170492,129781
"0","British Columbia",2039,"M",3235677,25376,103966,137073,142441,161284,193068,214057,230288,236617,259168,246381,218895,189304,160162,159010,157601,154837,118982,75358,51809
"0","British Columbia",2039,"F",3356079,24084,98325,129075,133749,152476,183883,213481,233133,238137,248124,236636,218145,197563,175030,179350,179275,179021,147255,101731,87606
"0","British Columbia",2039,"T",6591756,49460,202291,266148,276190,313760,376951,427538,463421,474754,507292,483017,437040,386867,335192,338360,336876,333858,266237,177089,139415
"0","British Columbia",2040,"M",3267916,25541,104395,137504,143442,162268,192070,215657,234349,234026,260418,250278,224369,196064,163834,156608,156499,154946,121820,78268,55560
"0","British Columbia",2040,"F",3390979,24240,98734,129483,134705,153906,183186,213929,236565,236628,251887,239120,223190,202296,178423,176560,179064,178904,150338,105817,94004
"0","British Columbia",2040,"T",6658895,49781,203129,266987,278147,316174,375256,429586,470914,470654,512305,489398,447559,398360,342257,333168,335563,333850,272158,184085,149564
"0","British Columbia",2041,"M",3299911,25711,104916,137884,144322,163885,191240,217002,237516,233810,259399,254089,229463,202237,168997,154493,156716,153150,124511,81459,59111
"0","British Columbia",2041,"F",3425420,24403,99229,129843,135541,155462,182608,214612,239390,236355,253280,242801,227434,207191,182274,174354,180102,177234,153200,110011,100096
"0","British Columbia",2041,"T",6725331,50114,204145,267727,279863,319347,373848,431614,476906,470165,512679,496890,456897,409428,351271,328847,336818,330384,277711,191470,159207
"0","British Columbia",2042,"M",3331653,25885,105517,138257,145073,165268,190734,217891,240143,237781,254946,257509,235039,207238,174965,154778,156257,150290,126973,84428,62681
"0","British Columbia",2042,"F",3459454,24568,99803,130194,136249,156780,182255,215002,241480,240187,252176,245334,232007,210971,187924,174119,180212,174467,155390,114095,106241
"0","British Columbia",2042,"T",6791107,50453,205320,268451,281322,322048,372989,432893,481623,477968,507122,502843,467046,418209,362889,328897,336469,324757,282363,198523,168922
"0","British Columbia",2043,"M",3363138,26054,106173,138672,145694,166497,191033,217642,242134,243454,250066,260207,240387,212045,181912,155763,154952,146724,129721,87639,66369
"0","British Columbia",2043,"F",3493121,24729,100426,130585,136837,157956,182409,214894,242510,246017,249233,248957,235561,215222,193924,174600,179024,171332,158154,118066,112685
"0","British Columbia",2043,"T",6856259,50783,206599,269257,282531,324453,373442,432536,484644,489471,499299,509164,475948,427267,375836,330363,333976,318056,287875,205705,179054
"0","British Columbia",2044,"M",3394381,26208,106849,139164,146207,167614,191785,217148,243362,248474,246205,262349,244861,217385,189005,158010,152889,144515,131860,90396,70095
"0","British Columbia",2044,"F",3526418,24875,101070,131053,137321,159025,183316,214460,243065,250364,247368,252698,238604,219700,199706,176324,176497,169440,160597,121338,119597
"0","British Columbia",2044,"T",6920799,51083,207919,270217,283528,326639,375101,431608,486427,498838,493573,515047,483465,437085,388711,334334,329386,313955,292457,211734,189692
"0","British Columbia",2045,"M",3425405,26337,107515,139754,146633,168618,192769,216136,244939,252515,243635,263591,248716,222804,195685,161674,150779,143827,132287,92988,74203
"0","British Columbia",2045,"F",3559320,24998,101704,131610,137722,159985,184749,213747,243487,253779,245862,256441,241076,224713,204415,179724,173917,169477,160775,124307,126832
"0","British Columbia",2045,"T",6984725,51335,209219,271364,284355,328603,377518,429883,488426,506294,489497,520032,489792,447517,400100,341398,324696,313304,293062,217295,201035
